trojlaločnatý	trojlaločný
trojkostým	trojka
dvanáctistěn	dvanáctistěnný
dopřesnit	přesný
dosmrtně	smrtný
dotláčecí	dotláčet
Gardawská	Gardavský
dořechtat	odřechtat
dozapáchat	zapáchat
dožlutění	dožlutit
Polná	Volný
drabčíkovitý	drabčík
dvacetitprocentně	dvacetiprocentní
dračincovitý	dračinec
drniště	drn
dvacetipětinásobný	dvacetipětinásobek
Plesná	Lesný
drsňáctví	drsňácký
drůběžnictví	drůbežnický
Pohorelá	Pohořelý
tiskárenství	tiskárenský
terpenicky	terpenický
Podhájecká	Hájecká
župáneček	župánek
žabákování	žabák
pennidy	pennin
znápadnět	znápadněný
znevrlet	vlet
dráčátko	dráče
obeznat	znát
pepřincovitý	pepřinec
tajemnůstkář	tajemnůstka
trafikantství	trafikantský
protipopulační	populační
peklovitost	peklo
zoficiálnit	oficiální
zoficiálnět	zoficiálněný
samooplození	samoplození
nakolejit	kolej
znaivnět	naivní
trhování	ztrhovat
trifluorchloretylen	trifluorchlorethylen
sandinovec	Sandinův
protiklíčivý	klíčivý
zounořit	unořit
svrabovitý	svrab
dotištěný	dotovat
rozvodovna	rozvod
dostižení	dostihnout
dotazatel	dotázat
sdělovač	sdělovat
zmechaničtět	mechanický
malovinařství	malovinař
donucovač	donucovat
odbožštit	božský
sušenčička	sušenka
dvojapůlnásobný	dvojapůlnásobek
rozpliznout	plizovat
gruziňáček	gruziňák
zpodobenina	zpodobený
pavučincovitý	pavučinec
obalamutěný	obalamutit
rozchvatitel	rozchvátit
grošíček	grošík
odepjavší	odepnout
grošovatý	groš
zlatničit	zlatník
řevniště	řevnit
rozbředlina	rozbředlý
rozcestníček	rozcestník
zlajdačet	zlajdačit
hlístnatý	hlíst
zkvalitnět	kvalitní
proutěnka	proutěný
zkouzelnět	kouzelný
těstíčkovitý	těstíčko
zkapacitnit	kapacitní
zkatoličit	katolický
zklackovitět	klackovitý
lužickosrbština	lužickosrbský
zpěknět	pěkný
lunicovitý	lunice
luninec	luník
pidginizovaný	pidgin
sebeexplikace	explikace
loutnovitý	loutna
zhýčkalec	zhýčkat
zintelektuálštět	zintelektuálštěný
luciferství	luciferský
dvojjednota	jednota
zhybnět	hybný
strojovitost	stromovitý
gladiátorství	gladiátorský
zešuntět	šunt
zhasínáček	zhasínač
ťulpasovitý	ťulpas
zežebračet	žebrat
průzvučnost	prozvučný
houbovatý	houba
zevnitřnost	zevnitřní
šťouchaneček	šťouchanec
parťáctví	parťák
zesínalý	zsinat
napřáhnutý	napřáhnout
zrútěný	zrútit
napřáhnutí	napřáhnout
návštěvna	návštěvní
nadzvihnout	zdvihnout
zesprostět	sprostý
dvojkvětí	dvojka
zsinavět	zesinavět
zesložitit	složitý
zeskromnit	skromný
ledviníkovitý	ledviník
punčochářství	punčochářský
pupíneček	pupínek
dvojlistý	dvojlist
ztitěrnit	titěrný
odmyslet	slet
zeměpaní	zeměpán
ztátovatět	ztát
zelinkavý	zelinka
papežíček	papežka
lajblíček	lajblík
nadstrážník	strážník
papírovitý	papír
plniště	plnit
štipíček	štíp
zuctivět	uctivý
sebenenávistný	sebenenávist
panďuláček	panďulák
gaviálovitý	gaviál
pandánovitý	pandán
příživníček	příživník
zbolestnět	bolestný
zvrabčit	vrabec
zvraskalý	svraskat
kárkař	kárka
kávičkář	kávička
funkcionování	funkce
nadprodukt	produkt
pochlebovačství	pochlebovačný
poctít	ctít
fujarovitý	fujara
kvítkovaný	kvítek
natrolit	trol
zavíjačka	zavíjet
udírnička	udírna
škrabalství	škrabal
debolševizátor	debolševizovat
poškoláctví	poškolák
čtyřicetiletí	čtyřicetiletý
příkaznictví	příkaznický
zatčení	zatřít
odsuzovač	odsuzovat
culíkatý	culík
zatrubnit	trubní
odvržení	odvrhnout
zasupat	supat
šimlovitý	šiml
odžlučit	žluč
základnice	kladnice
zaskřekat	zaskřeknout
zaslnit	oslnit
zaslonit	slon
upravdit	pravda
čtyřiadvacetičlenný	třiadvacetičlenný
chrchláček	chrchlák
okupanství	okupant
podhlavníček	podhlavník
zapisovač	zapisovat
ušklebavý	ušklíbat
chlebíčkárna	chlebíček
chlebníček	chlebník
zaolovnit	lovný
zápustkárna	zápustka
zalhanec	zalhaný
běláskovitý	bělásek
zakvoknout	zakvokat
velkochovatel	velkochov
velikánovič	velikán
krtičinec	krtičina
opláknout	plakat
orchestříček	orchestřík
soustrázeň	strázeň
zahřejtat	zahřát
potažení	potahovat
vláknař	vlákno
soumostí	rom
zahulat	hulit
vlídňoučce	vlídňoučký
