oblomovština	oblomovský, Oblomovský
nadskutečný	skutečný, skutek
voběžník	oběžný, oběh
vláčecí	vláček, vláčet, vlčák, vláče, vláčený
dlabanka	dlabaný, dlabat, dlabanec
divizník	divizní, divizna, divize
houbovník	houbový, houba, houbovec, houbově
vepřáhat	vpřáhnout, vpřáhat, vypřáhat, vpřahat, vypřáhnout, vypřahat
upovědomit	povědomý, povědět, povědomí
superstock	stack, skot
zploštět	plochý, plocho, zploštit
milovníček	milovník, milovný
šťouchanice	šťouchaný, šťouchávat, šťouchání, šťouchat, štochání
mečouní	mečoun, meč
přelízka	přelézat, přelízat, přelézt
souznět	souznít, snít
zámořec	zámoří, zamočit
zaklubnout	zaklubat, zaklovat
výtrusenka	výtrusný, výtrus
průchodicí	průchodit, průchod, prochodit
zjednodušet	jednoduchý, zjednodušit
ulehat	lehat, lehnout, léhat
knihvazačství	knihvazačský, knihvazač
zduchovět	duchový, duch
nadoboční	boční, obočí, poboční
zrubek	zarubat, zroubit
zčtyrnásobit	čtyrnásobný, čtyrnásobek
stáhnutý	stáhnout, stahnout, táhnout
žilčička	žilka, Žilka, žinka
posvíceníčko	posvícení, posvěcení
metráček	metrák, rek, trák, krát
chrobákovitý	chrobák, Chrobák, chrobáček
dřevařit	dřevař, dřevo, vařit
krunýřovcovitý	krunýřovec, krunýřovka, krunýř
pusinečka	pusinka, pusina
příhodička	příhoda, příhodný
poštička	pošta, štička
pukanec	pukaný, puknout, puk
zkonvenčnět	konvenční, zkonvenčnit
brankářina	brankář, brankař, branka
elektrometr	metr, -elektr-
kořenovina	kořenový, kořenovský, křenový
korunkárna	korunka, koruna
valencienka	Valencien, valence, valencienský
parnatý	par, para, pára
vyloučenina	vyloučený, vyloučení, vyloučit, loučený
přetahovka	přetahový, tahovka
chůdovitý	chůdy, chod
vohnout	hnout, ohnout, hon, mnout
právničina	právnice, právník, právní, právnický
nadpočet	počet, počít, počítat
vysvěcenec	vysvěcený, vysvícený, vysvětit
zesvětštit	světský, světlý
rozendat	dát, stát
vrtáček	vrták, vrťák, vrtat, vrtač
vystřižený	vystřihnout, vystříhnout, vystřežit, vystřehnout, vystředit
poníženec	ponížený, ponížit
utáhnutý	utáhnout, utuhnout
písničkařit	písničkář, písník
nátepník	tep, tepat
přádelník	přádlo, přádelna, příst, pádlo
šípkař	šípek, šipka, špek, štípek, Šípek
zásloví	slovo, slovit
vzbouřenka	vzbouřenec, vzbouření, vzbouřený, vzbouřit
přitáhnutý	přitáhnout, přitahnout
popelnička	popelnice, popelna, popel
vokraj	okraj, okrájet, okrást, krájet
řepinka	řepa, řepka
zdobítko	zdobit, zdoba
zlatinit	latina, latino
baňáček	Banák, baťák
přilehnout	přilehat, lehnout, přilíhat, přiležet, líhnout, žehnout, přilehávat
dřínovec	dřínový, dřín, Dřínov
ťapáček	paťák, ťopák
charakteristikon	charakteristický, charakteristika, charakter
vydivočet	divočet, vydívat
šuhaječka	šohajek, šuhajek
štětkárna	štětka, Štětka, štěk
zhlídat	hlédat, hlídat, zhlédat, hlédnout, zhlédnout, zhlídnout
posvětštit	světský, světlý
elfština	elfský, helský
kostkárna	kostka, Kostka, kost
skládkovač	skládkovat, skládkovaný
vidlitý	vidle, vidět, vidlice, vidlitě
serializátor	seriální, seriál
obraženina	obražený, obrazit, obrašený, obrážený, odražený
sídélko	sídlo, sedlo, dílo
zakuknout	zakukat, zakoukat, kouknout
předstěra	předstírat, stárka
připřáhnutý	připřáhnout, spřáhnout
zlízat	zlézt, lízat, zlézat
vykoulit	koulet, koule, koulovat
vykladiště	vykládat, vyklát
skeetař	skeet, sket, sketa
podstolí	stůl, stolit, stát
poníženectví	ponížený, poníženec
troglodytsví	troglodytský, troglodyt
ustoupit	stoupit, stopit, stoupa
utichnout	utichat, tichnout, utichovat
vzdýmat	dýmat, dmout, dát
zdravínek	zdraví, zdravit, zdravý
výdajný	výdaj, vydávat, vydat
šťárátko	šťárat, šmátrat
znovuzaložit	znovunaložit, znovu
roztržení	roztrhnout, roztrhat, roztržený
úhlovitý	úhel, uhel, uhlí
stající	stáj, stát, tajit
paterovec	pater, pata, Pater
střepiště	střep, třepit, střepina, střepat, příště, třepat
kříženeček	kříženka, kříženec
ultrareligiózní	religiosní, religiózní
vypuzenec	vypuzený, vypudit
dvouslovní	dvousloví, dvouslovo
pořádečný	pořádek, řádka, řádek
zalejzat	zalézt, zalézat, zalízat
velečin	velecký, velký
čtyřkolejný	čtyrkolý, čtyřkolý
uklizeč	uklízet, uklidit
anténovec	anténový, anténa
exdůstojník	důstojný, důstojník
přepjatý	přepnout, pnout
zpodálí	dál, zpodál, dole, dol
zavádka	zavádět, vádka, zavadit
utracenec	utracený, utrácený
rusalčí	rusalka, rusálka, rusý, rus
přisátí	přisát, sát
podvědomý	vědomý, povědomý, věda
brouzdálko	brouzdal, brouzdat
zmládí	mládí, zmladit
vraždírna	vraždit, vražda
odraženina	odražený, dražený, odrazený, ražený
mučenník	mučený, mučení, mučit
zúročný	zúročit, úročný
převěs	převěsit, čís
staničník	stanice, staniční
vinovatý	vina, vinout
zvětřet	větrat, zvětřit, zvětrat
balijština	balijský, baliský
statnět	statný, stať
dvojtřída	dvojtřídní, dvojtřídka
zádrh	zadrhnout, drhat, zdrhnout, zadržet, drhovat
vypršalý	vypršet, vyprchat, pršet
zastanec	zastavit, zastat
napřadení	napříst, přadení, předat
báňovitý	báň, Báňa
povětší	vít, vjít, vjet
přecudný	cudný, předat
vzkvětnout	vzkvést, vzkvétnout, vzkvetnout
odpadkáč	odpad, odpadat, odpadek
nápojářství	nápojářský, nápojařský, nápoj
zadkatý	zadek, zadat, zadmout
odmluvný	odmluvit, odmluva, odmlouvat, mluvný
chobotovitý	chobot, chobotový
výstřeší	vystřít, vystrojit
věchtoví	věchet, věchtový
vlastenčit	vlast, vlastenec, vlastenka
popletka	popleta, poplést, pletka, popel
smutňoučce	smutňoučký, smutný
immobilizace	immobilní, mobilizace
výhrožný	vyhrožovat, výhra
věnečný	věnec, Věnek, vínek
kytinka	kytka, kyt
řemenní	řemen, řemení
nováčekit	nováček, Nováček
katalyzační	katalýza, kataláza
zpozdálí	zpodál, dál
mikroklin	Klin, klinik
vývozář	vývoz, vyvozit
zaměstnanectvo	zaměstnanec, zaměstnanecký
napchat	napnout, chápat, prchat
naškrobenec	naškrobený, naškrobit, naškrobovaný
znatel	znát, znít, zen, nit
dotaxíkařit	taxíkařit, taxikařit
zhostní	zhost, host, zhostit
zlakotnit	lakotný, lakotit
spodobit	spodoba, spodní, podoba
příměrný	příměr, přiměřit, přeměřit, přemíra
Dobrá	Dobrý, dobrý, dobrá, Dobra
šlejfovačka	šlejfovat, šlajfovat, šlejfovávat
peřnatý	peří, peřina, přít
kuželář	kužel, kuželka, kuželák
štěničárna	štěnička, štěničí
buňkovka	buňkový, buňka, Buňkov
pečeníčko	pečení, pečený
odbíjecí	odbíjet, odvíjet, obíjet
klapička	klapka, klapat
průtlačný	protlačit, průtlak, protlak, tlačný
měchýřkovitý	měchýřek, měchýř
dvouvěžatý	dvouvěž, dvojvěž, dvouvěží
studeňoučce	studený, studeňoučký, studeně
pálenička	pálenice, pálený
výdusek	vydusat, vydusit
jezůvě	jezový, jezově, jez
dopadení	dopadnout, dopást, dopadat
vzornice	vzorník, vzorný
obraciště	obracet, obrátit, obrazit
dvoučarý	dvojče, dvojka, dvoják
zúplnit	úplný, plnit, ouplný, splnit, uplný
začít	čít, učít, lít, jít, rok
začít	čít, učít, lít, jít, rok
trakárek	trakař, trak
pecnovitý	cena, pecen, pec, Pecna, pecka
glosař	glosa, glosovat
ozubárna	zub, ozub, zubák, ozubí, zubovat
koupelář	koupel, koupelna
návladní	vláda, vládní
počítačovna	počítač, počítat
ocigánit	cigánit, cigán, Cigán
živnostnictvo	živnostnický, živnostník, živnostní
vyslanectvo	vyslanecký, vyslanec
vzdušina	vzdušit, vzdušný, vzduch
potkávačka	potkávací, potkávat
exdiskař	disk, diskař
dvojenec	dvojí, dvojit, dvojný, dvojený
pendlovky	pendlovka, pendlový, pendl, Pendl
naddozorce	dozorce, dozor
islamizátor	islamizovat, islám, islamizace
mařicí	mařit, mořit, pařit
přizdisráčství	přizdisráčský, přizdisráč
lesařina	lesař, lesařka, lasař
skladovní	skladovat, sklad, skladový
zalehat	lehat, léhat, belhat, lhát, lehký, leh, velhat, lehnout
dvojnožka	dvojnohý, dvojnoží
burešovec	Bureš, Burešov
řetázek	řetaz, řetěz
laviniště	lavina, láva, laň, Lavin
gulášovitý	guláš, gulášový
namlouvačný	namlouvat, namlouvač, namlouvačka, namlouvací
mikrocyt	kyt, -cyt-
rumlovec	ruml, rumlovský
zálepný	zalepit, zalepovat
zobcovitý	zobec, zobek, zob
dotláčet	dotlačit, tlačit
zmlada	mladit, zmladit
přeskočný	skočný, kočka, Kočka
zubovatý	zub, Zub
hlazeníčko	hlazení, zlazení
vodnička	vodnice, vodně, voda
závitkovec	závitek, závitka, závitkový, závitovat, závit, závitový
šroubený	šroub, šroubek
poloválcovitý	válcovitý, poloválcový
dvoječka	dvojka, dvojí
osazenec	osazený, osázený, osadit
ohybací	ohýbat, hýbat
kůlovitý	kůl, kél, kýl, kola
vypaženina	vypažený, vypařený, vypasený
vyprahlina	vyprahlý, vypráhlý, vyprahle
záplotí	plot, zaplotit
subsekvence	sekvence, sekvenční
dekoncentrát	dekoncentrace, dekoncentrovat, koncentrát
developerství	developerský, developer
rozpěrací	rozpírat, rozpěrat, rozpárat
přejezdník	přejezdný, příjezdný, přejízdný
přejezdník	přejezdný, příjezdný, přejízdný
taháček	tahák, tabák
dvojčitý	dvojka, dvojí
jadernatý	jaderný, jádro
zedranec	zedraný, zedrat, zadraný
plastárna	plast, plastický, plást
vybájenina	vybájený, vybájení
vyšinutec	šinutý, vyšinutý, vyšinout, šinout
prohejbat	hýbat, prohnout, hejbat, prohýbat, ohnout, ohejbat
vyzvědačný	vyzvědat, vyzvědačka, vyzvědač
nahóře	nahý, nahoře
zubouní	zuboun, zub
dvojkolý	dvojka, dvojkolo
exbrankář	brankař, brankář
střevárna	střevo, střevař, střevní
rychlíček	rychlík, Rychlík
pletač	plést, vléct, plást
dřeváčník	dřevák, dřevo
dvojačka	dvoják, dvojka, dvojí, dvojit
zasrčet	mrčet, frčet, vrčet
nastírat	stírat, nastrojit
zápasní	zápas, pásat
proudhonista	Proudhon, proudhonizmus, proudhonismus
slaboučko	slabý, slaboučký, slabě
agentáž	agent, agencie
zcelička	zcelit, zcela
klihař	klih, klíh, klik
řepkoviště	řepka, řepkový
výkrojník	výkroj, vykrojit
výkrojník	výkroj, vykrojit
balíčkárna	balíček, balík, balička
kombovitý	kombo, combo
nevraceč	vracet, vracený
ďobanec	dobnout, zoban
chladno	chladný, chladit, chlad
šafránovitý	šafrán, Šafrán
dvojtakt	dvojtaktový, dvojtaktní
podprotiva	protiva, prota
chlupáček	chlupáč, chlup
dotčení	dotřít, dotknout
klihovatý	klih, klihový, klif, klíh
opajcnout	zapchnout, pajcovat
jamovitý	jam, džem, jáma, Jam, Jama, dáma
dopředu	přední, vřed
záušek	ucho, ušák
propjavší	propnout, propít, propíjet
výročitý	výrok, výr, výročí
žlábkovnice	žlábkový, žlábek
exdiplomat	diplomat, diplom
pokojitel	kojit, ukojit
tajemnůstka	tajemnost, tajnost
zvláštník	zvlášť, zvláštní
sedliště	sedlo, sedět, sedlý, sedle, sídlo, odlít, sled
podíváníčko	podívání, dívání, dojívání
vyprášet	vyprasit, vyprášit, vyprosit
štětkář	štětka, Štětka, štítek
bronzař	bronz, bronzovat, bronzer
ustřehnout	křehnout, stříhnout
blíženka	blíženec, blížení
vygumovanec	vygumovaný, vyčumovaný
oklep	oklepnout, oklepat, klepat, uklepnout
zdávna	dávný, zdávat, zdát
řepařit	pařit, řepař
přeplavné	přeplavit, plavný
vůdcovstí	vůdce, vůdcovský
biosurovina	surovina, surový
vyslanstvo	vyslanský, vyslanství, vyslaný
špižírnička	špižírna, spižírna
prděníčko	prdění, prdět
lázeňsku	lázeňský, lázeň
ustřižení	ustřihnout, ustříhnout
lyčenec	lýčený, ryčený
bolusovitý	bolusový, bolus
řidčice	řidice, řidič, řitice, řičice
svaleček	svalek, sval, svalovat
pohoupáníčko	pohoupání, houpání
kamenisko	kámen, kamení
vochoz	ochoz, ochodit, ohodit
nadstrop	strop, trop, drop, zastropit
vinařina	vinař, vinařský, víno, vinořský, vínový
jemňoučko	jemňoučký, jemný
svařenina	svařený, svěřený, svářený, svaření
poklonkář	poklonka, poklona
výdumek	vydumat, vydmout
vazovitý	vaz, váza
vypeřit	vepřít, vepří, pýřit, vypřít
skupovač	skupovat, scupovat
okruhář	okruh, okrouhat, okruhový
štočkář	štoček, štok, štůček
představitelstvo	představitel, představitelský, představitelný
vzdušnět	vzdušný, vzdušit, vzdušený
dvoupencovka	dvoupencový, dvoupence
požitkařit	požitkář, požitkářský
záchvit	zachvátit, chvět, zachvít
dosled	sled, dosledovat, sledný
škrobenice	škrobený, škrobit, škrob
pačinko	pak, packý
olivovníkovitý	olivovník, olivovníkový
polucit	culit, kulit, koulet, šulit
víkendář	víkend, víkendový
plaváníčko	plavání, plavý, plavín
hostiárna	host, hostie, hostit
předklus	klus, klusat, překlusat
nehodář	nehoda, hodný, hodit, hody
hořečnatý	hořeček, hora
cifračka	cifrák, cifra
orezivělý	rezivět, rezavět, rezivý
kostelničit	kostelník, kostelnice, kostelní, kostelnický
výprysk	vyprysknout, vypryskovat
vzkvétnout	vzkvést, vzkvetnout, vzkvétat
výtvarničit	výtvarník, tvárný, tvárnice
veřejnostný	veřejnost, veřejný
výstavář	výstava, výstav
řízkovnice	řízek, řízkový
dvoutýdenní	dvojtýdenní, dvoutýden
vymetnout	vymetat, vmetat, vymýtat, vymítat
vyprávka	vypravit, vypravovat, vypravovaný
sledkař	sled, sleď
frekventativní	frekventovat, frekvence
solnatý	sůl, sol, sál
brdečka	brdek, brdo
vyžvýkanec	vyžvýkaný, vyžvýkání
davidovec	Davidov, David, Davidův
kobercovitý	koberec, kobercový
bleďoučce	bleďoučký, bleďounký
výděsný	vyděsit, výděs, vyděsovat
vosumdesátina	osumdesátina, osmdesátina
vydloupnout	loupnout, lupnout
vřesovina	vřesový, vřesovský, vřes
zaďáček	zadák, zaďák, zadík
prochcat	chcát, kýchat
obrazivo	obraz, obrazit, razit, obrazivý
nadrsno	drsno, drsný
podílek	podělit, podíl, podle
mrknout	mrkat, mrčet, mrška, mrhat
podílkář	podílek, podíl
protržený	protrhnout, protrhat
nedoplateček	doplatek, nedoplatek
vhoupnout	houpnout, hopnout, hupnout
psouní	psoun, psout, pes
smutnět	smutný, Smutný
krásoucí	krást, krásný
odpadiště	odpadat, odpad, odpadnout
fenička	fen, fena, fenik, fenka
dovolenkovný	dovolenkový, dovolenka, dovolenkovat
troškařina	troškař, troškařský, troškařka
srdénko	srdce, srdenko
zapchnout	zapíchat, zaprat
prstovitý	prst, prsť, prs
doměrka	doměřit, měřit, mířit, míra, domírat
dvojřadý	dvojřad, dvojí
dvoulet	dovelet, dvojletý
hrdobec	hrd, hrb
basáček	basák, Basák, časák
balíkárna	balík, balit, baliský
vykvětat	vykvést, květ, vyknout, vykvíst
nezmaří	mořit, mířit
sklípeček	sklípek, klípek
rozvržení	rozvrhnout, vržení
zámrak	mrak, zamrknout, mrknout
překapárna	překapat, překapovat, překapaný, překapací
výdržný	výdrž, vydržet
klencák	klenec, klencový
delfíňátko	delfíně, delfíní
prozvučný	prozvučit, zvučný, zvuk
mezkovitý	mezek, mez
thámovec	Thám, Tham
záhražka	záhrada, zahradit, zahrada
zařehonit	řehonit, řehnit
vzduchovna	vzduch, vzduchovat
rozlep	rozlepit, lepit
protisvětlo	protisvit, světlo
povrtit	vrt, vrtný, vrtět
spáditý	spád, spádný, spády
dvoupolarita	dvojpolární, dvoupolární
píšťalnice	píšťalka, píšťala
hůlkař	hůlka, holka, holkař
propálenina	propálený, propálení
mandloňovitý	mandloň, mandle
vaječnice	vaječník, vařečník, vaječný
hlasista	hlasizmus, hlas, Hlas, hlasismus
mazáníčko	mazání, mazaný, mazaně
průvodce	provádět, provést, průvod
přistřižení	přistřihnout, přestřihnout
zpozdné	zpozdit, pozdní
zbystřelý	zbystřet, zbystra, zbystřit
uhřitý	uher, hřmít, hřát, uhřík
potěrat	potřít, třít
vědařit	vědař, vadit
totáček	totáč, totál
zafrnčet	brnčet, drnčet
jinováč	jin, jiný
šlapička	šlapka, šlapák
výjezdný	výjezda, vyjezdit
upraný	uprat, prát, upírat
vožíračka	ožírat, ožírací
básnílek	básnit, básnil, básník
koštovné	koštovat, Koštov
zázněj	zaznít, znát
kořenovník	kořenový, kořenovat, koření, kořen, kořenův, Kořenov
brávník	brát, brávat
řemíček	mečík, míček, řemínek
kosatník	kosatý, kozatý, kosatka
solník	sůl, sol, solní, solit, solný
říjeniště	říjet, říjený, říjen, říjení, říjeně, říje
čisťounko	čistounký, čistý, čisťounký
tříspřežní	tříspřeží, trojspřeží, trojspřežní
předpokojík	pokoj, pokojík, pokojový
vlaštovice	vlaštovka, vlaštovník
meruňkovník	meruňkový, meruňka
jestřábovitý	jestřáb, Jestřáb, jestřábí
hrotovník	hrot, hrotový
zákopní	zákop, kopa
ztrojnásobit	trojnásobný, trojnásobek, trojnásob
přesevší	přesít, přejít, přesát
rozpřadený	rozpříst, rozpadnout, rozpadat, příst
povysátí	povysát, vysát
dvouvětný	dvojvětný, dvouvěta
dvojslovní	dvojsloví, dvojslovo
zdolit	dole, dol, dolet, důle, dolný, dolít
cedicí	cedit, cídit, ucedit
řezničit	řezník, řeznický, řezný, řeznice
pudrátko	pudr, pudrový
arabizátor	arabizovat, arabizace, arabský
vlajkovina	vlajkový, vlajka
zahltnout	hltat, zahltit
autopíst	píst, pěst
krystalovna	krystal, krystalovat, krystalový
sesmekat	smekat, smeknout, sesmeknout
temněmodře	temnomodrý, temněmodrý
malůvkář	malůvka, malovat
zaslíbenka	zaslíbit, zaslíbenec, zaslíbený
vzkazník	vzkázat, vzkaz, vzkázka
zhloubí	zhloubit, hloub, zhloubat
diskoformace	formace, disko
vyhubenělý	zhubenět, vyhubit
meruňkovo	meruňkový, meruňka
japonsku	Japonsko, japonský
dospod	spodní, spodek
podstata	statovat, statický, stát, status
