# Format of the file:
# Lemma	Tag-prefix
# Tag prefix can be empty.

# Required by lemma suffices
zapolemisovávat	V
zapolitisovávat	V
zaprecisovávat	V
zapřísáhnout	V
zapsychologisovávat	V
zarabisovávat	V
zaresonovávat	V
zarchaisovávat	V
zarichtovávat	V
zarisovávat	V
zaristokratisovávat	V
zaryglovávat	V
zasignalisovávat	V
zastabilisovávat	V
zastrukturalisovávat	V
zasympatisovávat	V
zaškrabnout	V
zašlejfovávat	V
zašpinavět	V
zašpórovávat	V
zaštudovávat	V
zatravnatit	V
zaumazat	V
zautomatisovávat	V
zautonomisovávat	V
zautorisovávat	V
zavaselinovávat	V
zavinčovávat	V
zavostat	V
zavotravovávat	V
zavulgarisovávat	V
zavulkanisovávat	V
zbabčit	V
zbagatelisovávat	V
zbaladisovávat	V
zbalkanisovávat	V
zbanalisovávat	V
zbankrotisovávat	V
zbarbarisovávat	V
zbarokisovávat	V
zbeletrisovávat	V
zbolševisovávat	V
zbrutalisovávat	V
zbržďovávat	V
zbyrokratisovávat	V
zbytkák	N
zbyzantinisovávat	V
zcensurovávat	V
zcentralisovávat	V
zceremonisovávat	V
zčechisovávat	V
zdefinitisovávat	V
zdemagogisovávat	V
zdemokratisovávat	V
zdemoralisovávat	V
zdesinfikovávat	V
zdesorganisovávat	V
zdesorientovávat	V
zdetailisovávat	V
zdialogisovávat	V
zdiversifikovávat	V
zdogmatisovávat	V
zdramatisovávat	V
zdymat	V
zdynamisovávat	V
zekonomisovávat	V
zelektrisovávat	V
zemdlet	V
zepisovávat	V
zerotisovávat	V
zeschematisovávat	V
zeskandalisovávat	V
zesocialisovávat	V
zespecialisovávat	V
zesprostačovávat	V
zestandardisovávat	V
zestetisovávat	V
zestylisovávat	V
zesubjektisovávat	V
zesubjektivisovávat	V
zesymbolisovávat	V
zesympatisovávat	V
zesyndikalisovávat	V
zetisovávat	V
zevropeisovávat	V
zfalsifikovávat	V
zfanatisovávat	V
zfašisovávat	V
zfederalisovávat	V
zfejetonisovávat	V
zfeudalisovávat	V
zgalisovávat	V
zgalvanisovávat	V
zgeneralisovávat	V
zgermanisovávat	V
zgotisovávat	V
zgramatisovávat	V
zharmonisovávat	V
zhelenisovávat	V
zheroisovávat	V
zhierarchisovávat	V
zhistorisovávat	V
zhosťovávat	V
zhudebnět	V
zhumanisovávat	V
zhypnotisovávat	V
zhyzďovávat	V
zchaotisovávat	V
zcharakterisovávat	V
zidealisovávat	V
zidylisovávat	V
zimprovisovávat	V
zindividualisovávat	V
zindustrialisovávat	V
zinicialisovávat	V
zintelektualisovávat	V
zintensivňovávat	V
zinternacionalisovávat	V
zinventarisovávat	V
zionisovávat	V
zironisovávat	V
zitalianisovávat	V
zitalisovávat	V
zjudaisovávat	V
zkanalisovávat	V
zkaolinisovávat	V
zkapitalisovávat	V
zkaramelisovávat	V
zkartelisovávat	V
zkatalogisovávat	V
zkatolisovávat	V
zklasicisovávat	V
zklerikalisovávat	V
zkolonisovávat	V
zkomercialisovávat	V
zkomercionalisovávat	V
zkomunalisovávat	V
zkomunisovávat	V
zkondensovávat	V
zkonkretisovávat	V
zkonservovávat	V
zkosmopolitisovávat	V
zkritisovávat	V
zkrystalisovávat	V
zlaicisovávat	V
Zlatíčko	N
zlatinisovávat	V
zlegalisovávat	V
zliberalisovávat	V
zlogicisovávat	V
zlogisovávat	V
zlokalisovávat	V
zlyrisovávat	V
zmagnetisovávat	V
zmajorisovávat	V
zmašinisovávat	V
zmatematisovávat	V
zmaterialisovávat	V
zmechanisovávat	V
zmelodisovávat	V
zmelodramatisovávat	V
zmetodisovávat	V
zmineralisovávat	V
zmirňovávat	V
zmobilisovávat	V
zmodernisovávat	V
zmonarchisovávat	V
zmonologisovávat	V
zmonopolisovávat	V
zmonumentalisovávat	V
zmoralisovávat	V
zmotorisovávat	V
zmythisovávat	V
zmythologisovávat	V
znacionalisovávat	V
znacisovávat	V
znaturalisovávat	V
znaturisovávat	V
znervosňovávat	V
znervozňovaný	A
znervozňovatelný	A
znervozňovávat	V
zneutralisovávat	V
znivelisovávat	V
znobilisovávat	V
znormalisovávat	V
znovuprojednat	V
zobjektisovávat	V
zobjektivisovávat	V
zopalisovávat	V
zoperetisovávat	V
zoptimalisovávat	V
zorganisovávat	V
zorientalisovávat	V
zornamentalisovávat	V
zpanchartit	V
zparalysovávat	V
zparlamentarisovávat	V
zpasivisovávat	V
zpasterisovávat	V
zpathetisovávat	V
zperiodisovávat	V
zpersiflovávat	V
zpoetisovávat	V
zpolarisovávat	V
zpolitisovávat	V
zpopularisovávat	V
zprimitisovávat	V
zprimitivisovávat	V
zprofesionalisovávat	V
zproletarisovávat	V
zprovincialisovávat	V
zpsychologisovávat	V
zracionalisovávat	V
zradikalisovávat	V
zradiofonisovávat	V
zrajonisovávat	V
zrealisovávat	V
zrecensovávat	V
zrelativisovávat	V
zremisovávat	V
zreorganisovávat	V
zresignovávat	V
zresonovávat	V
zrétorisovávat	V
zrevolucionisovávat	V
zromanisovávat	V
zromantisovávat	V
zrusisovávat	V
zrustikalisovávat	V
zrůznět	V
zrytmisovávat	V
zteatralisovávat	V
ztechnisovávat	V
ztelefonisovávat	V
zterorisovávat	V
ztheologisovávat	V
ztotalisovávat	V
ztrivialisovávat	V
ztrustovávat	V
ztypisovávat	V
ztyranisovávat	V
zurbanisovávat	V
zutilisovávat	V
zutilitarisovávat	V
zutrakvisovávat	V
zvalorisovávat	V
zvandalisovávat	V
zvisitovávat	V
zvisitýrovávat	V
zvitaminisovávat	V
zvodnět	V
zvrásnět	V
zvulgarisovávat	V
zvulkanisovávat	V
žalovník	N
železoobrábět	V
žurnalisovávat	V
zjudaizovati	V

# Missing in MorfFlex-2016-11-15, but present in earlier versions.
chrám	N

# Missing from all versions.
znouzectnost	N

# Missing, because only erroneous "zmaloměšťáčťělý" is present.
zmaloměšťáčtělý	AA
