@@ Made by:
@ cp ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules.rules.tsv rules.txt
@ … edit rules.txt to your needs …
@ ../derivations/add_relations_from_automatic_rules.pl rules.txt derinet092.slex after-autorules.tsv > autorules.outlog 2> autorules.errlog
@ mv rules.txt morfflex-new-autorules-rules.txt
@ grep '^@' ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules*.instances.tsv |sed 's/.*@[[:space:]]*//' |sort |uniq > negative_instances.txt
@ diff negative_instances.txt autorules.outlog | grep '^>' | sed 's/^>\ //' > morfflex-new-autorules-instances.txt
@ … edit morfflex-new-autorules-instances.txt and mark negative instances …
@ 
novy par: andělík --> andělíček	 pravidlo: N-k --> N-ček
novy par: Anderlík --> Anderlíková	 pravidlo: N- --> N-ová
novy par: Anderton --> Andertonová	 pravidlo: N- --> N-ová
novy par: andezit --> andezitový	 pravidlo: N- --> A-ový
novy par: Andrae --> Andraeův	 pravidlo: N- --> A-ův
novy par: Andr --> Andrová	 pravidlo: N- --> N-ová
novy par: Andraschko --> Andraschková	 pravidlo: N- --> N-vá
novy par: Andráš --> Andrášek	 pravidlo: N- --> N-ek
novy par: Andrašovský --> Andrašovská	 pravidlo: N-ý --> N-á
@ novy par: Andrea --> Andreaův	 pravidlo: N- --> A-ův
novy par: André --> Andréová	 pravidlo: N- --> N-ová
novy par: Andrejan --> Andrejanová	 pravidlo: N- --> N-ová
novy par: Andrej --> Andrejův	 pravidlo: N- --> A-ův
novy par: Andrejco --> Andrejcová	 pravidlo: N- --> N-vá
novy par: Andrejčík --> Andrejčíková	 pravidlo: N- --> N-ová
novy par: Andrejevský --> Andrejevská	 pravidlo: N-ý --> N-á
novy par: Andrejkovič --> Andrejkovičová	 pravidlo: N- --> N-ová
novy par: Andrejovský --> Andrejovská	 pravidlo: N-ý --> N-á
novy par: Andrejs --> Andrejsová	 pravidlo: N- --> N-ová
@ novy par: Andres --> Andreska	 pravidlo: N- --> N-ka
