# Derivations intermediate
# derivations that will be added to DeriNet based on Etym dict derivations list

# EtymDict: "derivation" is derivation of "grandparent", but "derivation" already has parent
# DeriNet: "parent" is root of tree containing "derivation"
# => connect "parent" (parent in DeriNet of the "derivation") to "grandparent" (in etym dict "grandparent" has listed "derivation" as child)
# root_of_grandparent <-...<- grandparent <-...<-parent <-...<-derivation


parent	grandparent	derivation
kopr#NNI??-----A---?	močit#V????--??-??I??	zmáčet#V????--??-??P??
podmoří#NNN??-----A---?	moře#NNN??-----A---?	podmořský#AA???----??---?
přímoří#NNN??-----A---?	moře#NNN??-----A---?	přímořský#AA???----??---?
mrtvý#A????----??---?	mrtvý#NNM??-----A---?	mrtvola#NNF??-----A---?
namrzat#V????--??-??I??	mrznout#V????--??-??I??	namrznout#V????--??-??P??
lýko#NNN??-----A---?	mrcha#NNF??-----A---?	mrchožrout#NNM??-----A---?
smyslet#V??????????????	mysl#NNF??-----A---?	smýšlet#V????--??-??I??
myslit#V????--??-??I??	mysl#NNF??-----A---?	důmyslný#AA???----??---?
máj#NNI??-----A---?	máj#NNF??-----A---?	májka#NNF??-----A---?
měřit#V????--??-??I??	mír#NNI??-----A---?	umírnit#V????--??-??P??
místo#NNN??-----A---?	místo#Db-------------	místní#AA???----??---?
mír#NNI??-----A---?	mířit#V????--??-??I??	záměr#NNI??-----A---?
cedule#NNF??-----A---?	směr#NNI??-----A---?	směrovka#NNF??-----A---?
muzika#NNF??-----A---?	múza#NNF??-----A---?	múzický#AA???----??---?
naftalen#NNI??-----A---?	nafta#NNF??-----A---?	naftalín#NNI??-----A---?
negativní#AA???----??---?	negace#NNF??-----A---?	negativ#NNI??-----A---?
nicota#NNF??-----A---?	nic#Db-------------	nicotný#A????----??---?
nivelovat#V????--??-??I??	nivelizovat#V????--??-??B??	nivelizace#NNF??-----A---?
líhnout#V????--??-??I??	noc#NNF??-----A---?	noclehárna#NNF??-----A---?
znuzit#V????--??-??P??	nudit#V????--??-??I??	znuděný#AA???----??---?
numerika#NNF??-----A---?	numero#NNN??-----A---?	numerický#AA???----??---?
nýt#V????--??-??I??	nýt#NNI??-----A---?	nyvý#AA???----??---?
kázat#V????--??-??I??	občan#NNM??-----A---?	občanka#NNF??-----A---?
razit#V????--??-??I??	obraz#NNI??-----A---?	obraznost#NNF??-----?---?
mykat#V????--??-??I??	odemknout#V????--??-??P??	odemykat#V????--??-??I??
váha#NNF??-----A---?	odvaha#NNF??-----A---?	odvážlivec#NNM??-----A---?
Vojen#NNM??-----A---?	vojna#NNF??-----A---?	vojenský#AA???----??---?
platit#V????--??-??I??	oplatka#NNF??-----A---?	oplatek#NNI??-----A---?
organik#NNM??-----A---?	orgán#NNI??-----A---?	organismus#NNI??-----A---?
